"";"Species";"Body_size_mm";"Fos";"Ter";"Aqu";"Arb";"Dir";"Lar";"Viv"
"396";"Cornufer_macrosceles";35;0;0;1;1;1;0;0
"397";"Cornufer_magnus";63;0;1;1;0;1;0;0
"398";"Cornufer_malukuna";63,2;0;1;1;0;1;0;0
"399";"Cornufer_mamusiorum";31;0;1;0;1;1;0;0
"400";"Cornufer_manus";NA;NA;NA;NA;NA;NA;NA;NA
"401";"Cornufer_mediodiscus";27;0;1;1;0;1;0;0
"402";"Cornufer_mimicus";37,4;0;1;0;1;1;0;0
"403";"Cornufer_minutus";19,5;0;1;1;0;1;0;0
"404";"Cornufer_montanus";40;0;1;1;1;1;0;0
"405";"Cornufer_myersi";57,3;0;1;1;0;1;0;0
"406";"Cornufer_nakanaiorum";44;0;0;0;1;1;0;0
"407";"Cornufer_neckeri";47,4;0;1;0;1;1;0;0
"408";"Cornufer_nexipus";56,6;0;1;1;0;1;0;0
"409";"Cornufer_opisthodon";143;0;1;1;1;1;0;0
"410";"Cornufer_papuensis";64;0;1;1;0;1;0;0
"411";"Cornufer_parilis";41,4;0;0;0;1;NA;NA;NA
"412";"Cornufer_parkeri";17,5;0;1;1;0;1;0;0
"413";"Cornufer_pelewensis";60;0;1;1;0;1;0;0
"414";"Cornufer_punctatus";50,9;0;1;0;0;1;0;0
"415";"Cornufer_schmidti";49;0;1;1;1;1;0;0
"416";"Cornufer_solomonis";84;0;1;1;0;1;0;0
